2026-05-27 01:03:03 | INFO     | app.core.logger | Система логирования инициализирована. Debug режим: False
2026-05-27 01:03:03 | INFO     | mayss | Starting MAYSS Marketplace API
2026-05-27 01:03:17 | INFO     | mayss | Created new bonus wallet for user 1
2026-05-27 01:03:17 | INFO     | mayss | Created new bonus wallet for user 1
2026-05-27 01:03:17 | INFO     | mayss | Created new bonus wallet for user 1
2026-05-27 01:03:17 | INFO     | mayss | Created new bonus wallet for user 1
2026-05-27 01:03:17 | INFO     | mayss | Earned 30.00 bonuses for user 1, order 42
2026-05-27 01:03:17 | INFO     | mayss | Created new bonus wallet for user 1
2026-05-27 01:03:17 | INFO     | mayss | Earned 50.00 bonuses for user 1, order 42
2026-05-27 01:03:17 | INFO     | mayss | Created new bonus wallet for user 1
2026-05-27 01:03:17 | INFO     | mayss | Earned 30.00 bonuses for user 1, order 42
2026-05-27 01:03:17 | INFO     | mayss | Created new bonus wallet for user 1
2026-05-27 01:03:17 | INFO     | mayss | Created new bonus wallet for user 1
2026-05-27 01:03:17 | INFO     | mayss | Spent 50.00 bonuses for user 1, order 42
2026-05-27 01:03:17 | INFO     | mayss | Created new bonus wallet for user 1
2026-05-27 01:03:17 | INFO     | mayss | Spent 500.00 bonuses for user 1, order 42
2026-05-27 01:03:17 | INFO     | mayss | Created new bonus wallet for user 1
2026-05-27 01:03:17 | WARNING  | mayss | User 1 insufficient bonuses: has 10.00, needs 50.00
2026-05-27 01:03:17 | INFO     | mayss | Created new bonus wallet for user 1
2026-05-27 01:03:17 | INFO     | mayss | Spent 50.00 bonuses for user 1, order 42
2026-05-27 01:03:17 | INFO     | mayss | Created new bonus wallet for user 1
2026-05-27 01:03:17 | INFO     | mayss | Adjusted 100.00 bonuses for user 1: Initial bonus
2026-05-27 01:03:17 | INFO     | mayss | Created new bonus wallet for user 1
2026-05-27 01:03:17 | INFO     | mayss | Adjusted -50.00 bonuses for user 1: Penalty
2026-05-27 01:03:17 | INFO     | mayss | Created new bonus wallet for user 1
2026-05-27 01:03:17 | WARNING  | mayss | User 1 bonus balance adjusted below 0, clamped to 0
2026-05-27 01:03:17 | INFO     | mayss | Adjusted -100.00 bonuses for user 1: Overpayment correction
2026-05-27 01:03:17 | INFO     | mayss | Created new bonus wallet for user 1
2026-05-27 01:03:17 | INFO     | mayss | Earned 30.00 bonuses for user 1, order 1
2026-05-27 01:03:17 | INFO     | mayss | Earned 15.00 bonuses for user 1, order 2
2026-05-27 01:03:17 | INFO     | mayss | Created new bonus wallet for user 1
2026-05-27 01:03:17 | INFO     | mayss | Earned 30.00 bonuses for user 1, order 1
2026-05-27 01:03:17 | INFO     | mayss | Spent 50 bonuses for user 1, order 2
2026-05-27 01:03:17 | INFO     | mayss | Created new bonus wallet for user 1
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 0
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 1
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 2
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 3
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 4
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 5
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 6
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 7
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 8
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 9
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 10
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 11
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 12
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 13
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 14
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 15
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 16
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 17
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 18
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 19
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 20
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 21
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 22
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 23
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 24
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 25
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 26
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 27
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 28
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 29
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 30
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 31
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 32
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 33
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 34
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 35
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 36
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 37
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 38
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 39
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 40
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 41
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 42
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 43
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 44
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 45
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 46
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 47
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 48
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 49
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 50
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 51
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 52
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 53
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 54
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 55
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 56
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 57
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 58
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 59
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 60
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 61
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 62
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 63
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 64
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 65
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 66
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 67
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 68
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 69
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 70
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 71
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 72
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 73
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 74
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 75
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 76
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 77
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 78
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 79
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 80
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 81
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 82
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 83
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 84
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 85
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 86
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 87
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 88
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 89
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 90
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 91
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 92
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 93
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 94
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 95
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 96
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 97
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 98
2026-05-27 01:03:17 | INFO     | mayss | Earned 3.00 bonuses for user 1, order 99
2026-05-27 01:03:17 | INFO     | mayss | Created new bonus wallet for user 1
2026-05-27 01:03:17 | INFO     | mayss | Earned 30.00 bonuses for user 1, order 1
2026-05-27 01:03:17 | INFO     | mayss | Spent 10 bonuses for user 1, order 2
2026-05-27 01:03:17 | INFO     | mayss | RES | IP: testclient | GET /api/v1/bonuses/balance | Status: 401 | Time: 0.43ms
2026-05-27 01:03:17 | INFO     | httpx | HTTP Request: GET http://testserver/api/v1/bonuses/balance "HTTP/1.1 401 Unauthorized"
2026-05-27 01:03:25 | INFO     | app.core.logger | Система логирования инициализирована. Debug режим: False
2026-05-27 01:03:25 | INFO     | mayss | Starting MAYSS Marketplace API
